SampleName,Sample,Date,Project,contributing PI,MetaG Number_of_reads,MetaG Size_bp,Number_of_Bins_Medium_and_High_Quality,Country,GROW_version,has_MetaT,MetaT_bp,has_FTICR,Latitude,Longitude,MetaG_JGI_accession,MetaT sequencing location,MetaT_accession,MetaG mapping,Removed from mapping analysis
NASQAN2014_035,NASQAN2014_035,8/12/14,NASQAN,Byron Crump,134271920,20275059920,35,USA,v1,N,NA,N,29.34969,-95.58245,3300045526,NA,NA,79.921621,No
NASQAN2011_330,NASQAN2011_330,5/24/11,NASQAN,Byron Crump,134215342,20266516642,7,USA,v1,N,NA,N,38.13088,-87.94142,3300045536,NA,NA,47.046238,No
NASQAN2011_250,NASQAN2011_250,1/31/11,NASQAN,Byron Crump,133984746,20231696646,15,USA,v1,N,NA,N,41.17809,-91.18209,3300045532,NA,NA,58.127476,No
NASQAN2010_155,NASQAN2010_155,10/19/10,NASQAN,Byron Crump,133909038,20220264738,31,USA,v1,N,NA,N,41.25889,-95.92251,3300045538,NA,NA,66.944725,No
NASQAN2012_130,NASQAN2012_130,2/8/12,NASQAN,Byron Crump,132793810,20051865310,3,USA,v1,N,NA,N,38.95116,-90.37123,3300045539,NA,NA,45.606823,No
NASQAN2016_016,NASQAN2016_016,1/27/16,NASQAN,Byron Crump,132513840,20009589840,0,USA,v1,N,NA,N,38.45602,-121.50134,3300047291,NA,NA,43.172,No
nebranchanacostia_2019_sw_WHONDRS-S19S_0081,S19S_0081,8/19/19,WHONDRS,James Stegen,131817196,19904396596,48,USA,v1,Y,7720126264,Y,38.960004,-76.9261495,3300043451,UC Denver,TBD,76.820791,No
NASQAN2011_265,NASQAN2011_265,2/4/11,NASQAN,Byron Crump,131362614,19835754714,22,USA,v1,N,NA,N,40.72781,-91.95962,3300045586,NA,NA,60.583866,No
dobsoncreek_2019_sw_WHONDRS-S19S_0087,S19S_0087,8/21/19,WHONDRS,James Stegen,131195730,19810555230,52,USA,v1,Y,8981372186,Y,43.1233451,-116.7743431,3300043424,UC Denver,TBD,76.657845,No
NASQAN2011_209,NASQAN2011_209,2/8/11,NASQAN,Byron Crump,131005794,19781874894,2,USA,v1,N,NA,N,29.69799,-91.37289,3300045528,NA,NA,32.877396,No
NASQAN2010_233,NASQAN2010_233,12/2/10,NASQAN,Byron Crump,130335724,19680694324,8,USA,v1,N,NA,N,40.72781,-91.95962,3300045585,NA,NA,61.512585,No
sangamon_2019_sw_WHONDRS-S19S_0083,S19S_0083,8/19/19,WHONDRS,James Stegen,129545136,19561315536,60,USA,v1,Y,8705030710,Y,40.31083,-88.3227,3300046779,UC Denver,TBD,81.607931,No
NASQAN2015_081,NASQAN2015_081,2/19/15,NASQAN,Byron Crump,128625098,19422389798,9,USA,v1,N,NA,N,39.65791,-76.17418,3300047281,NA,NA,60.108463,No
NASQAN2011_225,NASQAN2011_225,5/12/11,NASQAN,Byron Crump,128048688,19335351888,0,USA,v1,N,NA,N,30.69074,-91.73623,3300045530,NA,NA,28.940735,No
NASQAN2011_051,NASQAN2011_051,2/14/11,NASQAN,Byron Crump,127770988,19293419188,18,USA,v1,N,NA,N,41.25889,-95.92251,3300045425,NA,NA,64.63322,No
watershed3_2019_sw_WHONDRS-S19S_0084,S19S_0084,8/19/19,WHONDRS,James Stegen,126968090,19172181590,31,USA,v1,N,NA,Y,43.954722,-71.722778,3300043421,NA,NA,85.423374,No
NASQAN2015_031,NASQAN2015_031,10/1/15,NASQAN,Byron Crump,125963060,19020422060,21,USA,v1,N,NA,N,45.00616,-74.79491,3300047390,NA,NA,70.54919,No
NASQAN2011_099,NASQAN2011_099,8/24/11,NASQAN,Byron Crump,124329298,18773723998,10,USA,v1,N,NA,N,39.70338,-90.64541,3300045457,NA,NA,59.34974,No
NASQAN2015_052,NASQAN2015_052,5/15/15,NASQAN,Byron Crump,124030690,18728634190,28,USA,v1,N,NA,N,37.67604,-121.26633,3300047392,NA,NA,66.892605,No
